PosX	PosY	PosZ		ForceX	ForceY	ForceZ		ThetaX	ThetaY	ThetaZ		TorqueX	TorqueY	TorqueZ		EstTorqueX	EstTorqueY	EstTorqueZ		ResidTorqueX	ResidTorqueY	ResidTorqueZ
4.6	0.4	0		0	0	20		0	-1.44	0		8	-92	0		12.67	-209.23	0		-4.67	117.23	0
4.6	0.4	0		0	0	40		0.06	-1.31	-0.06		16	-184	0		1.11	-191.91	0		14.89	7.91	0
4.6	0.4	0		0	0	60		0	-1.69	0		24	-276	0		14.88	-245.62	0		9.12	-30.38	0
4.6	0.4	0		0	0	80		-0.06	-3.19	-0.06		32	-368	0		34.58	-467.92	0		-2.58	99.92	0
4.6	0.4	0		0	0	100		-0.06	-3.06	-0.06		40	-460	0		33.48	-449.72	0		6.52	-10.28	0
4.6	0.4	0		0	0	120		-0.19	-2.69	-0.19		48	-552	0		43.14	-403.06	0		4.86	-148.94	0
4.6	0.4	0		0	0	140		-0.12	-5	-0.19		56	-644	0		55.05	-738.11	0		0.95	94.11	0
4.6	0.4	0		0	0	160		-0.06	-4.69	-0.12		64	-736	0		45.82	-688.67	0		18.18	-47.33	0
4.6	0.4	0		0	0	180		-0.12	-5.12	-0.19		72	-828	0		56.15	-756.31	0		15.85	-71.69	0
4.6	0.4	0		0	0	200		-0.25	-6.56	-0.25		80	-920	0		83.78	-971.05	0		-3.78	51.05	0
4.6	0.4	0		0	0	220		-0.19	-6.94	-0.25		88	-1012	0		78.62	-1024.09	0		9.38	12.09	0
4.6	0.4	0		0	0	240		-0.25	-6.75	-0.31		96	-1104	0		83.44	-1000.75	0		12.56	-103.25	0
4.6	0.4	0		0	0	260		-0.25	-8.56	-0.31		104	-1196	0		99.42	-1264.57	0		4.58	68.57	0
4.6	0.4	0		0	0	280		-0.12	-8.88	-0.31		112	-1288	0		85.23	-1306.97	0		26.77	18.97	0
4.6	0.4	0		0	0	300		-0.19	-8	-0.25		120	-1380	0		87.98	-1178.74	0		32.02	-201.26	0
4.6	0.4	0		0	0	320		-0.38	-10.31	-0.44		128	-1472	0		127.81	-1527.21	0		0.19	55.21	0
4.6	0.4	0		0	0	340		-0.38	-10.81	-0.44		136	-1564	0		132.22	-1599.99	0		3.78	35.99	0
4.6	0.4	0		0	0	360		-0.31	-10.38	-0.44		144	-1656	0		119.89	-1534.77	0		24.11	-121.23	0
4.6	0.4	0		0	0	380		-0.56	-12.5	-0.5		152	-1748	0		170.53	-1852.66	0		-18.53	104.66	0
4.6	0.4	0		0	0	400		-0.5	-11.38	-0.44		160	-1840	0		154.13	-1684.95	0		5.87	-155.05	0
4.6	0.4	0		0	0	420		-0.5	-11.44	-0.56		168	-1932	0		150.69	-1698.89	0		17.31	-233.11	0
4.6	0.1	0		0	0	20		0	-1.25	0		2	-92	0		11.02	-181.94	0		-9.02	89.94	0
4.6	0.1	0		0	0	40		0.06	-1.5	-0.06		4	-184	0		2.76	-219.2	0		1.24	35.2	0
4.6	0.1	0		0	0	60		0.06	-1.38	0		6	-276	0		3.65	-198.59	0		2.35	-77.41	0
4.6	0.1	0		0	0	80		0.12	-2.94	-0.06		8	-368	0		6.96	-426.9	0		1.04	58.9	0
4.6	0.1	0		0	0	100		0.06	-3.06	-0.12		10	-460	0		14.54	-449.05	0		-4.54	-10.95	0
4.6	0.1	0		0	0	120		0.12	-3.25	-0.12		12	-552	0		7.72	-474.8	0		4.28	-77.2	0
4.6	0.1	0		0	0	140		0.19	-4.75	-0.12		14	-644	0		12.47	-691.59	0		1.53	47.59	0
4.6	0.1	0		0	0	160		0.12	-5.75	-0.19		16	-736	0		27.77	-841.1	0		-11.77	105.1	0
4.6	0.1	0		0	0	180		0.19	-5.19	-0.12		18	-828	0		16.33	-755.27	0		1.67	-72.73	0
4.6	0.1	0		0	0	200		0.31	-6.81	-0.19		20	-920	0		11.72	-991.12	0		8.28	71.12	0
4.6	0.1	0		0	0	220		0.25	-6.38	-0.19		22	-1012	0		16.34	-928.99	0		5.66	-83.01	0
4.6	0.1	0		0	0	240		0.31	-7.19	-0.25		24	-1104	0		13.03	-1048.12	0		10.97	-55.88	0
4.6	0.1	0		0	0	260		0.31	-8.62	-0.31		26	-1196	0		23.72	-1259.77	0		2.28	63.77	0
4.6	0.1	0		0	0	280		0.25	-8.88	-0.25		28	-1288	0		36.39	-1295.29	0		-8.39	7.29	0
4.6	0.1	0		0	0	300		0.19	-8.69	-0.38		30	-1380	0		39.22	-1274.38	0		-9.22	-105.62	0
4.6	0.1	0		0	0	320		0.31	-10.44	-0.31		32	-1472	0		39.7	-1523.59	0		-7.7	51.59	0
4.6	0.1	0		0	0	340		0.31	-10.44	-0.31		34	-1564	0		39.7	-1523.59	0		-5.7	-40.41	0
4.6	0.1	0		0	0	360		0.31	-10.38	-0.38		36	-1656	0		37.15	-1516.91	0		-1.15	-139.09	0
4.6	0.1	0		0	0	380		0.38	-12.62	-0.44		38	-1748	0		46.53	-1845.28	0		-8.53	97.28	0
4.6	0.1	0		0	0	400		0.25	-11.5	-2.38		40	-1840	0		-8.2	-1759.55	0		48.2	-80.45	0
4.6	0.1	0		0	0	420		0.38	-12.5	-0.44		42	-1932	0		45.42	-1827.09	0		-3.42	-104.91	0
4.6	-0.2	0		0	0	20		0.19	-1.25	-0.06		-4	-92	0		-16.39	-179.73	0		12.39	87.73	0
4.6	-0.2	0		0	0	40		0.19	-1.88	-0.06		-8	-184	0		-10.88	-270.7	0		2.88	86.7	0
4.6	-0.2	0		0	0	60		0.06	-1.5	-0.06		-12	-276	0		2.76	-219.2	0		-14.76	-56.8	0
4.6	-0.2	0		0	0	80		0.25	-3	-0.12		-16	-368	0		-11.43	-435.32	0		-4.57	67.32	0
4.6	-0.2	0		0	0	100		0.44	-3.31	-0.12		-20	-460	0		-34.09	-476.18	0		14.09	16.18	0
4.6	-0.2	0		0	0	120		0.31	-3.31	0		-24	-552	0		-13.16	-474.43	0		-10.84	-77.57	0
4.6	-0.2	0		0	0	140		0.62	-5.06	-0.06		-28	-644	0		-42.09	-723.85	0		14.09	79.85	0
4.6	-0.2	0		0	0	160		0.38	-4.81	-0.19		-32	-736	0		-14.39	-698.47	0		-17.61	-37.53	0
4.6	-0.2	0		0	0	180		0.69	-5.06	-0.12		-36	-828	0		-52.55	-724.72	0		16.55	-103.28	0
4.6	-0.2	0		0	0	200		0.56	-6.44	-0.19		-40	-920	0		-25.48	-930.36	0		-14.52	10.36	0
4.6	-0.2	0		0	0	220		0.69	-6.62	-0.12		-44	-1012	0		-38.78	-952.15	0		-5.22	-59.85	0
4.6	-0.2	0		0	0	240		0.5	-6.12	-0.19		-48	-1104	0		-19.76	-886.42	0		-28.24	-217.58	0
4.6	-0.2	0		0	0	260		0.94	-9.06	-0.19		-52	-1196	0		-53.17	-1303.18	0		1.17	107.18	0
4.6	-0.2	0		0	0	280		1	-8.81	-0.25		-56	-1288	0		-65.84	-1267.66	0		9.84	-20.34	0
4.6	-0.2	0		0	0	300		1	-7.94	-0.31		-60	-1380	0		-75.55	-1142.72	0		15.55	-237.28	0
4.6	-0.2	0		0	0	320		1.31	-10.88	-0.31		-64	-1472	0		-92.02	-1562.57	0		28.02	90.57	0
